UA,UANAME,CBSA,MNAME,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00037,"Abbeville, LA Urban Cluster",10020,"Abbeville, LA Micro Area",2,19268,8216,28218638,27918141,19824,8460,29523368,29222871,57999,25235,3993941933,3038572441,97.2,97.12,95.58,95.54,33.22,32.56,.71,.92
00037,"Abbeville, LA Urban Cluster",35340,"New Iberia, LA Micro Area",2,556,244,1304730,1304730,19824,8460,29523368,29222871,73240,29698,2669055888,1486940445,2.8,2.88,4.42,4.46,.76,.82,.05,.09
00064,"Abbeville, SC Urban Cluster",99999,"Not in a metro/micro area",,5243,2578,11334983,11315197,5243,2578,11334983,11315197,,,,,100,100,100,100,,,,
00091,"Abbotsford, WI Urban Cluster",48140,"Wausau, WI Metro Area",1,1103,428,2102170,2102170,3966,1616,5376662,5363441,134063,57734,4082627087,4001488029,27.81,26.49,39.1,39.19,.82,.74,.05,.05
00091,"Abbotsford, WI Urban Cluster",99999,"Not in a metro/micro area",,2863,1188,3274492,3261271,3966,1616,5376662,5363441,,,,,72.19,73.51,60.9,60.81,,,,
00118,"Aberdeen, MS Urban Cluster",99999,"Not in a metro/micro area",,4666,2050,7469348,7416616,4666,2050,7469348,7416616,,,,,100,100,100,100,,,,
00145,"Aberdeen, SD Urban Cluster",10100,"Aberdeen, SD Micro Area",2,25977,12114,33250044,33002447,25977,12114,33250044,33002447,40602,18672,7464393827,7352814243,100,100,100,100,63.98,64.88,.45,.45
00172,"Aberdeen, WA Urban Cluster",10140,"Aberdeen, WA Micro Area",2,29856,13139,41927640,39997951,29856,13139,41927640,39997951,72797,35166,5761183504,4926225833,100,100,100,100,41.01,37.36,.73,.81
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",12580,"Baltimore-Towson, MD Metro Area",1,203902,79657,323630662,314194303,213751,83721,349451754,339626464,2710489,1132251,8041974873,6737801281,95.39,95.15,92.61,92.51,7.52,7.04,4.02,4.66
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1,9849,4064,25821092,25432161,213751,83721,349451754,339626464,5965343,2433611,12613479144,11919387230,4.61,4.85,7.39,7.49,.17,.17,.2,.21
00226,"Abernathy, TX Urban Cluster",31180,"Lubbock, TX Metro Area",1,701,277,961817,949245,2785,1124,3063681,3051109,284890,117966,4668177704,4651092628,25.17,24.64,31.39,31.11,.25,.23,.02,.02
00226,"Abernathy, TX Urban Cluster",38380,"Plainview, TX Micro Area",2,2084,847,2101864,2101864,2785,1124,3063681,3051109,36273,13541,2602362403,2602115719,74.83,75.36,68.61,68.89,5.75,6.26,.08,.08
00253,"Abilene, KS Urban Cluster",99999,"Not in a metro/micro area",,7054,3238,8775140,8773263,7054,3238,8775140,8773263,,,,,100,100,100,100,,,,
00280,"Abilene, TX Urbanized Area",10180,"Abilene, TX Metro Area",1,110421,46732,142744247,141756054,110421,46732,142744247,141756054,165252,69721,7142424576,7105575299,100,100,100,100,66.82,67.03,2,1.99
00334,"Abingdon, IL Urban Cluster",23660,"Galesburg, IL Micro Area",2,3389,1483,3731303,3731303,3389,1483,3731303,3731303,70626,31759,3270800927,3260277296,100,100,100,100,4.8,4.67,.11,.11
00388,"Ada, OH Urban Cluster",99999,"Not in a metro/micro area",,5945,1906,4769036,4769036,5945,1906,4769036,4769036,,,,,100,100,100,100,,,,
00415,"Ada, OK Urban Cluster",10220,"Ada, OK Micro Area",2,17400,8086,31003046,30913906,17400,8086,31003046,30913906,37492,16595,1878323829,1865918266,100,100,100,100,46.41,48.73,1.65,1.66
