"abbreviation","expansion"
"asst","assistant"
"admin","administrator"
"sr","senior"
"jr","junior"
"rep","representative"
"mgr","manager"
"mngr","manager"
"ceo","chief executive officer"
"cmo","chief marketing officer"
"coo","chief operating officer"
"cto","chief technology officer"
"cfo","chief finance officer"
"cpo","chief product officer"
"vp","vice president"
"hr","human resources"
"principle","principal"
"qa","quality assurance"
"it","information technology"
"csr","customer service representative"
"sw","software"
"tech","technical"
"software developer","software engineer"
"&","and"
"1st","first"
"2nd","second"
"3rd","third"
"a/s","arts and sciences"
"parttime","part-time"
"aa","affirmative action"
"abate","abatement"
"abfe","association of black foundation executives"
"acad","academic"
"acct","account"
"ace/ivr","automated course exchange/interactive voice response"
"ack","acknowledgement"
"acq","acquisition"
"act","activity"
"ada","american disabilities act"
"admin","administrative"
"admiss","admission"
"adv","advisor"
"advncd","advanced"
"aff","affairs"
"ai","associate instructor"
"aim","aftercare by iupui through mentoring"
"ait","advanced information technologies"
"alum","alumni"
"ambul","ambulatory"
"angio","angiography"
"ann","annual"
"appl","application"
"appt","appointment"
"apr","apprentice"
"asbes","asbestos"
"assess","assess"
"assoc","associate"
"asst","assistant"
"assur","assurance"
"ath","athletic"
"attd","attendant"
"aud","audiology"
"aux","auxiliary"
"av","audio visual"
"avc","assistant/associate vice chancellor"
"avp","assistant/associate vice president"
"b & e","business & economics"
"basbl","baseball"
"ben","benefit"
"bi","business intelligence"
"bioinfo","bioinformatics"
"bl","bloomington"
"bldg","building"
"bsktb","basketball"
"bsw","bachelor of social work"
"bther","biologic therapy"
"bus","business"
"cadd","computer aided design & drafting"
"cam","capital assets management"
"camp","campaign"
"cap","capital"
"cardio","cardiology"
"cath","catherization"
"cav","cavanaugh"
"cbc","composition by computers"
"ceo","chief executive officer"
"cfo","chief financial officer"
"chanc","chancellor"
"chem","chemistry"
"chldhd","childhood"
"circ","circulation"
"cl","class"
"clin","clinic"
"clrghouse","clearninghouse"
"cls","cardiac life support"
"clsf","classify"
"cme","continuing medical education"
"cmpl","compliance"
"cmte","committee"
"cmty","community"
"cncr","cancer"
"coll","collection"
"comm","communication"
"comp","computer"
"compens","compensation"
"conf","conference"
"cons","consultant"
"consmr","consumer"
"const","construction"
"cont","control"
"contin","continuing"
"coo","chief operating officer"
"coop","cooperative"
"coord","coordinator"
"coun","counselor"
"cpa","certified public accountant"
"cpi","college preparation initiatives"
"cpr","cardiopulmonary resusication"
"crtn","certification"
"ct","computed tomography"
"ctlg","cataloging"
"ctr","center"
"curr","curriculum"
"cycl","cyclotron"
"cyto","cytogenetics"
"decis","decision"
"del","delivery"
"dent","dental"
"dept","department"
"devl","development"
"dfac","dean of the faculties"
"diag","diagnosis"
"dig","digital"
"dir","director"
"disab","disabled"
"dist","distance"
"distrib","distribution"
"div","division"
"divr","diversity"
"doc","document"
"dpnd","dependence"
"dsgn","design"
"dupl","duplicating"
"ecg","echocardiogram"
"educ","education"
"educr","educator"
"eeg","electroencephalographic"
"elec","electrical"
"elect","electron"
"electrophys","electrophysiology"
"elem","elementary"
"empl","employment"
"enforcemnt","enforcement"
"eng","engineer"
"enviro","environment"
"ep","evoked potential"
"equip","equipment"
"era","electronic research administration"
"ercp","endoscopic retrograde cholangio pancreatography"
"eric/chess","eric clearinghouse"
"es","enrollment services"
"eval","evaluation"
"even","evening"
"excel","excellence"
"exec","executive"
"exer","exercise"
"exp","experience"
"fac","facility"
"facet","faculty colloquium on excellence in teaching"
"fel","fellow"
"fin","finance"
"fis","fiscal"
"fms","financial management support"
"foundtn","foundation"
"frsh","freshman"
"fser","food service"
"ft","full-time"
"futr","future"
"gen","general"
"gi","gastrointestinal"
"gis","geographic information systems"
"giv","giving"
"govt","government"
"gr","grade"
"grad","graduate"
"grnd","ground"
"grp","group"
"gsn","general staff nurse"
"hd","head"
"hema","hematology"
"hfc","housing"
"his","health information services"
"hiv","human immunodeficiency virus"
"hlth","health"
"horti","horticulturist"
"hosp","hospital"
"hr","human resources"
"hs","high school"
"hvac","heating"
